Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8996973,9169410,9351441,9543205,9744781,9956320,10174836,10399926,10637063,10893776,11173642,11475445,11791215,12108963,12412950,12689160,12943093,13171306,13341198,13411056,13356511,13171673,12882528,12537730,12204292,11938208,11736179,11604534,11618005,11868877,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386,
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,1.828638702,1.898475653,1.965750511,2.029893385,2.090247673,2.147566577,2.171008785,2.188107747,2.254572124,2.3847205,2.536599489,2.665192329,2.714522752,2.659115951,2.47943603,2.200780319,1.98142011,1.747838882,1.281616595,0.522259984,-0.407546009,-1.393544249,-2.219656411,-2.712947662,-2.695480494,-2.20436802,-1.706772001,-1.128040913,0.116016612,2.136354595,4.476896508,6.900156175,8.546120196,8.790888641,7.659777033,5.884256812,4.019468195,2.636538892,1.94731853,2.17043897,2.975052846,3.902805701,4.496719561,4.668361494,4.321539296,3.682731797,2.990478094,2.493842299,2.268277145,2.397020991,2.74657628,3.143125903,3.407586974,3.494589049,3.355581661,3.077083595,2.778317409,2.548346644,2.3847611,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,,,,,,,,,,,,,,,,,,,,,4055176933,4515563414,5226775163,6209140044,6971286732,9747886105,10109218068,12439087077,15856574731,17804280538,20001615789,20561054090,20484873230,19907111419,19362642267,20191764940,19362969582,
Afghanistan,AFG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,510,530,630,660,630,600,570,550,550,
Afghanistan,AFG,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,3.171644508,3.27566332,3.381051113,3.487601912,3.595586191,3.704270252,3.815609411,3.923941382,4.027079655,4.126989576,4.22325147,4.316198631,4.482218329,4.73336156,5.00812458,5.313622021,5.65077451,6.022014825,6.448363933,6.952383168,7.320953803,7.784424955,8.346444114,8.993294639,9.689214253,10.38649184,11.07940668,11.70684665,12.21762256,12.49415593,12.48212661,12.17155373,11.67565931,11.17123569,10.81084864,10.6494977,10.68866647,10.8760567,11.14394158,11.39297394,11.55492989,11.60956354,11.59608279,11.5627546,11.46154899,11.32434175,11.26688412,11.26552626,11.28999654,11.29918693,11.26930911,11.1950286,11.09224445,10.98009646,10.8845747,10.8199743,10.78830848,10.78150175,10.79233924,
Afghanistan,AFG,Urban population,SP.URB.TOTL,755836,796272,839385,885228,934135,986074,1041191,1099272,1161355,1228273,1300947,1379463,1463290,1551037,1640868,1730928,1821611,1912078,1997578,2070935,2136374,2181492,2208967,2225071,2241318,2267901,2305807,2357345,2439549,2502909,2628554,2828169,3093388,3391712,3677087,3916248,4093835,4220821,4321584,4434762,4587798,4790053,5031157,5293385,5563504,5824291,6055019,6263747,6464835,6680732,6927764,7212518,7528588,7865067,8204877,8535606,8852859,9164841,9477100,
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,5.156936007,5.211641459,5.272864481,5.317575811,5.377572845,5.41104351,5.438912671,5.42828923,5.493928434,5.602169086,5.748334309,5.86018322,5.899303222,5.823641426,5.630163063,5.343231076,5.106359352,4.846933438,4.374483793,3.606474941,3.110980329,2.089904697,1.251593907,0.726383978,0.727526047,1.179064843,1.657598952,2.210526212,3.427720041,2.564046926,4.898022969,7.319562069,8.963742459,9.206787828,8.078605397,6.301318996,4.434813095,3.054747534,2.359234283,2.585194857,3.392622011,4.314130568,4.910850146,5.080795027,4.977019778,4.580914972,3.88502396,3.389105344,3.159892151,3.285007253,3.630954363,4.028102148,4.288938013,4.37235476,4.229767834,3.951762191,3.649410221,3.463407483,3.350382976,
Afghanistan,AFG,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.059290169,,,,,,,,,,
Afghanistan,AFG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,22.69353128,,,,,,,,,,55.37645811,,,,,,,,,,,,,,,43.0116649,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.668423701,4.622149233,7.259298338,5.502360792,5.840147718,6.085465576,5.940385123,5.77947771,4.843049327,5.001186991,5.391717225,5.465576365,5.518332894,5.74254814,5.710894223,6.481139541,,,
Afghanistan,AFG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.104707035,0.104707035,
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,,350.9,345.3,340.1,334.9,329.6,324.3,319,313.6,308.1,302.7,297.2,291.7,285.9,280.4,274.6,268.7,262.9,256.7,250.4,243.9,237.5,231,224.5,218,211.4,204.8,198.2,191.6,185.2,178.8,172.6,166.7,161.1,155.8,150.8,146.1,141.8,137.5,133.4,129.4,125.4,121.2,117,112.8,108.5,104.3,100.1,95.9,91.9,88,84.1,80.5,76.9,73.6,70.4,67.5,64.7,62.3,
Afghanistan,AFG,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,,,,,,,32.9,,,,,,,,,25,,,,,,
Afghanistan,AFG,"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.64,,,,,,,,,,15.92,19.86,11.76,8.75,11.26,14.22,23,23.01,,
Afghanistan,AFG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1115.1,1079,985.8,1082.8,1098.9,1012.3,1224.5,1287.5,1310.4,1105.1,976.2,1006.9,1279.6,1301.9,1316.4,1362.4,1224,1291.9,1323.7,1349,1338.3,1330.2,1355.6,1334.1,1331.7,1314,1359.8,1285.7,1237.6,1200.6,1160.4,1097.8,1132.9,1140.4,1214.5,1204.4,1348.8,1388,1285.7,806.3,1006.7,1669.8,1458,1334.8,1790.4,1551.7,1915.3,1455.4,2040.7,2011.1,1659.9,2029.6,2048.5,2017.5,2133,1981.6,2024.7,,
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,26.92931747,33.01575089,42.4,45.23712158,42.7,43.22201891,69.1,70.15348053,89.5,71.5,97.7,97.7,,
Afghanistan,AFG,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.035,,,,,0.063,,,,,0.065,,,,,,,,,,,0.077,,,,,0.183,0.179,,0.129,0.109,,,0.143,,,,0.11,,,,0.1957,,,,,0.163,0.1774,0.1771,0.2156,0.2396,0.2553,0.245,0.2894,0.3039,0.2907,0.284,,,
Afghanistan,AFG,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5955,0.4492,0.5046,0.5049,0.6162,,,,,0.32,,,,,
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.013151224,0.024575271,0.009401115,0.015576924,,,0.001565217,-0.008126411,,0.032450496,0.247135743,0.005174216,,,,,,,,,,,,,,,,,,,,,1.232991823,1.280017457,3.575818629,4.364533544,3.414003887,1.93570173,0.399170734,0.451055983,1.203125109,0.293038637,0.284095348,0.234965317,0.209790229,0.849679315,0.483360246,0.255222349,0.616822256,
